"VERSION_R26","CASEID","SAMPLE_ID","SAMPLE_RACE","SAMPLE_SEX","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS"
458,157,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,-3,0,-5,-3,-5,0,-5,-5,-3,0,0,0
458,158,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0
-5,159,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5
458,160,5,3,2,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,161,5,3,2,0,-3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,162,1,3,1,0,0,-3,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5
-5,163,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,164,5,3,2,-3,0,0,-3,-5,-5,0,-3,-3,0,0,0,-3,0,0,-3,0,-5,0,-5,-5,-5,-5,-5,0,0
458,165,5,3,2,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-5,166,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-5
-5,167,5,3,2,-3,0,1,1,1,1,1,1,0,-3,0,0,0,0,0,0,0,0,0,-3,-5,-5,-5,-5,-5,-5
458,168,3,2,1,1,-3,1,-5,-3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,1
458,169,7,2,2,1,-3,-5,-5,-3,1,-3,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,1
-5,170,5,3,2,-3,0,-5,0,-3,0,-3,0,0,-3,-3,0,1,0,-3,1,0,0,1,-5,-5,-5,-5,-5,-5,-5
458,171,1,3,1,-3,-3,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,-3,0
458,172,6,3,2,0,1,0,1,-3,-3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
-5,173,1,3,1,1,-3,-5,-5,0,0,0,1,-5,0,0,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,174,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-3,0
458,175,5,3,2,0,-5,-3,-3,0,-3,0,-3,-5,-5,-3,-3,0,0,0,0,0,-5,-5,-5,-5,-5,-3,0,0,-3
-5,176,5,3,2,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,177,1,3,1,0,-3,0,0,0,0,-3,0,0,-3,-3,0,0,0,0,-5,-5,0,-5,-5,-5,-5,-5,0,-5,-5
-5,178,1,3,1,-3,-3,0,1,-3,-3,0,-3,0,0,0,-3,0,0,0,0,0,0,-3,0,0,0,0,0,0,-5
458,179,5,3,2,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,-3,0,0,-3,0,0,0,0,0
458,180,5,3,2,0,0,0,0,-3,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,0
458,181,1,3,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,-3,0,0,0,0,0,0,0
458,182,1,3,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,1
